id,Title,Type,Category,Source,Link,Length,Date,Coutry,Language,Relevance,Notes,,,,,,,
117,探寻人工智能005: 给你一双慧眼 ('Exploring Artificial Intelligence 005: Give you a pair of smart eyes'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1OTYyMTA0MA,26:47,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
118,探寻人工智能006: 能说会道 ('Exploring Artificial Intelligence 006: Able to talk'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE1OTgwNjA1Mg,26:47,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
119,探寻人工智能007: 动了谁的奶酪? ('Exploring Artificial Intelligence 007: Whose cheese was moved?'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE2MjMwMzA0OA,26:47,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
120,探寻人工智能008: 谁让我动了心 ('Exploring artificial intelligence 008: Who moved me'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE2MjQ3NTQ0OA,26:42,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
121,探寻人工智能009: 回到未来 ('Exploring Artificial Intelligence 009: Back to the Future'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE2NDY1MjE1Ng,26:48,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
122,探寻人工智能010: 脑中的宇宙 ('Exploring Artificial Intelligence 010: The Universe in the Brain'),Video,AI/Machine learning,"Youku - ""探寻人工智能"" Documentary",https://v.youku.com/v_show/id_XMzE2NDgwMjIxNg,26:49,2020-04-16,Mainland China,Mandarin,,,,Video not present anymore,,,,,
123,Artificial Intelligence Topic,Video,AI/Machine learning,Deloitte China,https://www2.deloitte.com/cn/zh/pages/technology/topics/artificial-intelligence.html,1:54,2020-04-16,Mainland China,Mandarin,,,,Figure out how to grab the video,,,,,
124,《走遍中国》 20180319 5集系列片《人工智能改变生活》（1） 会思考的机器 | CCTV中文国际 ('Thinking Machine'),Video,AI/Machine learning,"CCTV - ""Travel All Over China"" series; ""Artificial Intelligence Changes Life"" 2018",https://www.youtube.com/watch?v=w8QatEH9HPk,26:26,2020-04-16,Mainland China,Mandarin,,,,,,,,,
125,《走遍中国》 20180320 5集系列片《人工智能改变生活》（2） 智能支付 | CCTV中文国际 ('Smart Payment'),Video,AI/Machine learning,"CCTV - ""Travel All Over China"" series; ""Artificial Intelligence Changes Life"" 2018",https://www.youtube.com/watch?v=DBf_qIkZ2t8,25:56,2020-04-16,Mainland China,Mandarin,,,,,,,,,
126,《走遍中国》 20180321 5集系列片《人工智能改变生活》（3） 城市大脑 | CCTV中文国际 ('The City Brain'),Video,AI/Machine learning,"CCTV - ""Travel All Over China"" series; ""Artificial Intelligence Changes Life"" 2018",https://www.youtube.com/watch?v=LPvfZ95uiQQ,25:55,2020-04-16,Mainland China,Mandarin,,,,,,,,,
127,《走遍中国》 20180322 5集系列片《人工智能改变生活》（4）人脸识别 | CCTV中文国际 ('Face Recognition'),Video,AI/Machine learning,"CCTV - ""Travel All Over China"" series; ""Artificial Intelligence Changes Life"" 2018",https://www.youtube.com/watch?v=WCiERWxATvo,25:56,2020-04-16,Mainland China,Mandarin,,,,,,,,,
128,《走遍中国》 20180323 5集系列片《人工智能改变生活》（5） 无人驾驶 | CCTV中文国际 ('Driverless'),Video,AI/Machine learning,"CCTV - ""Travel All Over China"" series; ""Artificial Intelligence Changes Life"" 2018",https://www.youtube.com/watch?v=EI9j7GqeDW4,25:48,2020-04-16,Mainland China,Mandarin,,,,,,,,,
129,《中国经济大讲堂》未来已来 人工智能将如何改变我们的生活？20190808 | CCTV财经 ('How will artificial intelligence change our lives?'),Video,AI/Machine learning; Business/Economy,"CCTV - ""China Economic Lecture Hall""",https://www.youtube.com/watch?v=Q46gWMbFVK8,41:23,2020-04-16,Mainland China,Mandarin,,,,,,,,,
130,《开讲啦》 人工智能赋能新时代 · 清华大学人工智能研究院院长张钹：人工智能的终极目标就是让人们的生活更加美好 20180922 | CCTV《开讲啦》官方频道 ('Dean of the Institute of Artificial Intelligence of Tsinghua University Zhang Cy: The ultimate goal of artificial intelligence is to make people's lives better'),Video,AI/Machine learning; Business/Economy; Education,"CCTV - ""Let's Talk""",https://www.youtube.com/watch?v=sq-VQLtfpwY,44:59,2020-04-16,Mainland China,Mandarin,,,,,,,,,
131,《探寻人工智能2 》第1集 未来已来 ('Ep. 1: The future is here'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=m7nY7WJEQ2k,28:52,2020-04-16,Mainland China,Mandarin,,,,,,,,,
132,《探寻人工智能2 》第2集 智能“新物种” ('Ep. 2: New species'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=OmZyeeciZJY,28:46,2020-04-16,Mainland China,Mandarin,,,,,,,,,
133,《探寻人工智能2》 第3集 学习的革命 ('Ep. 3: Revolution of learning'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=D1e_C_7AQOY,27:47,2020-04-16,Mainland China,Mandarin,,,,,,,,,
134,《探寻人工智能2》 第4集 职场新对手 ('Ep.4: New opponent in the workplace'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=0PGsUH6-xTs,29:28,2020-04-16,Mainland China,Mandarin,,,,,,,,,
135,《探寻人工智能2》 第5集 医者AI芯 ('Ep. 5: Doctor AI'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=NzxMzHWpxA4,30:22,2020-04-16,Mainland China,Mandarin,,,,,,,,,
136,《探寻人工智能2》 第6集 第25小时 ('Ep. 6: 25th hour'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=zKTXK26wXvE,29:18,2020-04-16,Mainland China,Mandarin,,,,,,,,,
137,《探寻人工智能2 》第7集 抢占制高点 ('Ep. 7: Seize the commanding heights'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=3lIruclPNfM,29:51,2020-04-16,Mainland China,Mandarin,,,,,,,,,
138,《探寻人工智能2》 第8集 脑洞大开 ('Ep. 8: Brain opening'),Video,AI/Machine learning,"Yang Lan Official Channel - ""Exploring Artificial Intelligence""",https://www.youtube.com/watch?v=24xlqDD6fbU,31:21,2020-04-16,Mainland China,Mandarin,,,,,,,,,
139,7天入门机器学习day1- 1 机器学习科学计算库内容简介,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=wc-wPY_BiYk&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb,4:05,2020-04-28,Mainland China,Mandarin,,,,,,,,,
140,7天入门机器学习day1- 2 人工智能概述,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=jxgOR8-FHoA&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=2,12:21,2020-04-28,Mainland China,Mandarin,,,,,,,,,
141,7天入门机器学习day1- 3 人工智能的发展历程,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=IJmBkIiAlLY&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=3,6:59,2020-04-28,Mainland China,Mandarin,,,,,,,,,
142,7天入门机器学习day1- 4 人工智能主要分支,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=iK-vW4arjho&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=4,7:04,2020-04-28,Mainland China,Mandarin,,,,,,,,,
143,7天入门机器学习day1- 5 机器学习定义工作流程概述,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=sFwg6ElfMSs&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=5,4:15,2020-04-28,Mainland China,Mandarin,,,,,,,,,
144,7天入门机器学习day1- 6 机器学习工作流程各步骤解释,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=qV8yyF7sdFA&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=6,14:44,2020-04-28,Mainland China,Mandarin,,,,,,,,,
145,7天入门机器学习day1- 7 机器学习算法分类介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=WW_lGYQb_xc&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=7,12:41,2020-04-28,Mainland China,Mandarin,,,,,,,,,
146,7天入门机器学习day1- 8 模型评估,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=O4_NPoCZyus&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=8,8:50,2020-04-28,Mainland China,Mandarin,,,,,,,,,
147,7天入门机器学习day1- 9 Azure机器学习平台实验演示1,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=RQhqHWC5Jkc&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=9,14:51,2020-04-28,Mainland China,Mandarin,,,,,,,,,
148,7天入门机器学习day1- 10 Azure机器学习平台实验演示2,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=SvFAU8J9CP4&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=10,6:04,2020-04-28,Mainland China,Mandarin,,,,,,,,,
149,7天入门机器学习day1- 11 深度学习简介,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=XCE2Bt2zmqE&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=11,4:50,2020-04-28,Mainland China,Mandarin,,,,,,,,,
150,7天入门机器学习day1- 12 基础环境安装,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=w3MHdmGVkhU&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=12,3:52,2020-04-28,Mainland China,Mandarin,,,,,,,,,
151,7天入门机器学习day1- 13 jupyter notebook的基本使用1,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=nVCDNrKmz8k&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=13,17:35,2020-04-28,Mainland China,Mandarin,,,,,,,,,
152,7天入门机器学习day1- 14 jupyter notebook的基本使用2,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=Wizk2J3Xdh4&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=14,6:40,2020-04-28,Mainland China,Mandarin,,,,,,,,,
153,7天入门机器学习day1- 15 matplotlib的基本使用,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=3FfHzKOxx_A&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=15,7:26,2020-04-28,Mainland China,Mandarin,,,,,,,,,
154,7天入门机器学习day2- 1 实现基础绘图 某城市温度变换图,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=vdO1ynhlwYs&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=16,5:58,2020-04-28,Mainland China,Mandarin,,,,,,,,,
155,7天入门机器学习day2- 2 绘图辅助功能完善 某城市温度变换图,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=YJPESJ7GCN0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=17,17:06,2020-04-28,Mainland China,Mandarin,,,,,,,,,
156,7天入门机器学习day2- 3 在一个坐标系下绘制多个图像,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=FJJA-5UeV3o&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=18,8:04,2020-04-28,Mainland China,Mandarin,,,,,,,,,
157,7天入门机器学习day2- 4 在多个坐标系下绘制多个图像,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=iYspN1VZt88&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=19,17:39,2020-04-28,Mainland China,Mandarin,,,,,,,,,
158,7天入门机器学习day2- 5 常见图形绘制,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=iEuJ2eX8AAs&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=20,11:20,2020-04-28,Mainland China,Mandarin,,,,,,,,,
159,7天入门机器学习day2- 6 numpy介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=YMYuLHg6EIw&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=21,10:18,2020-04-28,Mainland China,Mandarin,,,,,,,,,
160,7天入门机器学习day2- 7 ndarray介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=NdMZK5RbEyA&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=22,10:51,2020-04-28,Mainland China,Mandarin,,,,,,,,,
161,7天入门机器学习day2- 8 创建0，1数组，固定范围数组,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=-N4KY410KpU&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=23,9:32,2020-04-28,Mainland China,Mandarin,,,,,,,,,
162,7天入门机器学习day2- 9 创建随机数组,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=3I820g763_M&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=24,13:43,2020-04-28,Mainland China,Mandarin,,,,,,,,,
163,7天入门机器学习day2- 10 数组的基本操作,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=tW5_CsjhzOY&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=25,14:28,2020-04-28,Mainland China,Mandarin,,,,,,,,,
164,7天入门机器学习day2- 11 ndarray的运算,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=F2X_M9WFEog&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=26,16:59,2020-04-28,Mainland China,Mandarin,,,,,,,,,
165,7天入门机器学习day2- 12 数组间运算,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=bTKo287AHnQ&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=27,9:10,2020-04-28,Mainland China,Mandarin,,,,,,,,,
166,7天入门机器学习day2- 13 矩阵复习,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=KMan1GHtnuY&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=28,12:15,2020-04-28,Mainland China,Mandarin,,,,,,,,,
167,7天入门机器学习day2- 14 pandas介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=lbMAhQReh2k&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=29,2:43,2020-04-28,Mainland China,Mandarin,,,,,,,,,
168,7天入门机器学习day2- 15pandas数据结构 series,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=Nc61gN9TNSY&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=30,7:53,2020-04-28,Mainland China,Mandarin,,,,,,,,,
169,7天入门机器学习day2. 7天入门机器学习day1. 16 pandas数据结构 DataFrame1,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=HnlpinDcYZ0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=31,10:23,2020-04-28,Mainland China,Mandarin,,,,,,,,,
170,7天入门机器学习day1. 17 pandas数据结构 DataFrame2,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=jTWnmBE7S-0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=32,6:40,2020-04-28,Mainland China,Mandarin,,,,,,,,,
171,7天入门机器学习day1. 18 pmultiindex和panel,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=0y3NYjnCeVg&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=33,11:10,2020-04-28,Mainland China,Mandarin,,,,,,,,,
172,7天入门机器学习day3. 13 星巴克案例实现,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=DIVLSQqAx7A&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=34,6:04,2020-04-28,Mainland China,Mandarin,,,,,,,,,
173,7天入门机器学习day3. 14 电影案例分析1,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=ouJTBsFIv6M&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=35,13:33,2020-04-28,Mainland China,Mandarin,,,,,,,,,
174,7天入门机器学习day3. 15 电影案例分析,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=GkDxJCz-aYM&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=36,15:57,2020-04-28,Mainland China,Mandarin,,,,,,,,,
175,7天入门机器学习day4. 1 K 近邻算法简介,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=1_wW8nRgKFU&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=37,11:14,2020-04-28,Mainland China,Mandarin,,,,,,,,,
176,7天入门机器学习day4. 2 K近邻算法api初步使用,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=04v5P0qiAmc&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=38,9:36,2020-04-28,Mainland China,Mandarin,,,,,,,,,
177,7天入门机器学习day4. 3 机器学习中距离度量介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=X1nuXFCE3po&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=39,19:27,2020-04-28,Mainland China,Mandarin,,,,,,,,,
178,7天入门机器学习day4. 4 K值的选择介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=aotWQCg7aNQ&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=40,6:22,2020-04-28,Mainland China,Mandarin,,,,,,,,,
179,7天入门机器学习day4. 5 kd树和kd树的构造过程,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=J2sVHr9pwHo&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=41,9:33,2020-04-28,Mainland China,Mandarin,,,,,,,,,
180,7天入门机器学习day4. 7 数据集获取和属性介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=K1vt-iGDP70&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=43,12:34,2020-04-28,Mainland China,Mandarin,,,,,,,,,
181,7天入门机器学习day4. 8 数据可视化介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=Dzz8jK3U4Ug&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=44,10:00,2020-04-28,Mainland China,Mandarin,,,,,,,,,
182,7天入门机器学习day4. 9 数据集的划分,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=lDsunufpZm0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=45,9:38,2020-04-28,Mainland China,Mandarin,,,,,,,,,
183,7天入门机器学习day4. 10 特征预处理简介,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=CaSIXm6XnX0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=46,4:04,2020-04-28,Mainland China,Mandarin,,,,,,,,,
184,7天入门机器学习day4. 11 归一化和标准化介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=5QChLbDIj6E&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=47,16:13,2020-04-28,Mainland China,Mandarin,,,,,,,,,
185,7天入门机器学习day4. 12 鸢尾花种类预测,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=5boF5OWhO4o&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=48,14:56,2020-04-28,Mainland China,Mandarin,,,,,,,,,
186,7天入门机器学习day4. 13 KNN算法总结,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=i4Ig6Db1uxw&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=49,4:09,2020-04-28,Mainland China,Mandarin,,,,,,,,,
187,7天入门机器学习day4. 14 交叉验证、网格搜索概念介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=eARGaSatMIw&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=50,6:27,2020-04-28,Mainland China,Mandarin,,,,,,,,,
188,7天入门机器学习day4. 15 交叉验证、网格搜索案例实现,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=vxmMgiYOMoE&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=51,7:48,2020-04-28,Mainland China,Mandarin,,,,,,,,,
189,7天入门机器学习day5. 1 案例 Facebook位置预测流程分析,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=xhTDs1SDzR8&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=52,9:00,2020-04-28,Mainland China,Mandarin,,,,,,,,,
190,7天入门机器学习day5. 2 案例 Facebook位置预测代码实现1,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=JRb2nwf6Z4U&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=53,19:27,2020-04-28,Mainland China,Mandarin,,,,,,,,,
191,7天入门机器学习day5. 3 案例 Facebook位置预测代码实现2,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=soums4JL1eI&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=54,14:35,2020-04-28,Mainland China,Mandarin,,,,,,,,,
192,7天入门机器学习day5. 4 线性回归简介,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=baVlZz8W-lU&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=55,6:32,2020-04-28,Mainland China,Mandarin,,,,,,,,,
193,7天入门机器学习day5. 5 初始线性回归api,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=bH8Go3fKaBA&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=56,5:49,2020-04-28,Mainland China,Mandarin,,,,,,,,,
194,7天入门机器学习day5. 6 数学：求导,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=djCBg0DgdkI&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=57,5:29,2020-04-28,Mainland China,Mandarin,,,,,,,,,
195,7天入门机器学习day5. 7 线性回归中损失函数的介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=C7hIFLLKpfM&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=58,5:12,2020-04-28,Mainland China,Mandarin,,,,,,,,,
196,7天入门机器学习day5. 8 使用正规方程对损失函数进行优化,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=CX_47qgW0fU&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=59,10:38,2020-04-28,Mainland China,Mandarin,,,,,,,,,
197,7天入门机器学习day5. 9 使用梯度下降法对损失函数进行优化,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=6GZfgX4-B-Y&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=60,12:23,2020-04-28,Mainland China,Mandarin,,,,,,,,,
198,7天入门机器学习day5. 10 梯度下降法方法介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=_ehelAG2Lsg&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=61,6:06,2020-04-28,Mainland China,Mandarin,,,,,,,,,
199,7天入门机器学习day5. 11 线性回归api再介绍,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=nZlSWbUiTK4&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=62,3:12,2020-04-28,Mainland China,Mandarin,,,,,,,,,
200,7天入门机器学习day5. 12 波士顿房价预测案例,Video,AI/Machine learning; Education,"Chuanzhi Podcast - ""7 days introductory machine learning""",https://www.youtube.com/watch?v=2ReohVEyAF0&list=PLD3Xyx6ef38zHClQhz-a_Y4rNyotS6OUb&index=63,18:23,2020-04-28,Mainland China,Mandarin,,,,,,,,,
