id,Title,Type,Category,Source,Link,Length,Date,Coutry,Language,Relevance,Notes,,,,,,,
26,"Xuexi Qiangguo educational talk/content video Mengman talks about ""Bamboo Stone_"" _ Learning Power",Video,Advertisement; Social media; Politics/Government,Youku,https://v.youku.com/v_show/id_XNDA2NTgwODkwMA==.html?spm=a2h0c.8166622.PhoneSokuUgc_31.dtitle,10:37,2020-03-28,Mainland China,Mandarin,,,,,,,,,
27,"Xuexi Qiangguo documentary video ""Forever Beginning""",Video,Politics/Government; Social media,Youku,https://v.youku.com/v_show/id_XNDIwMTAxOTc1Ng==.html?spm=a2h0c.8166622.PhoneSokuUgc_19.dtitle,5:52,2020-03-28,Mainland China,Mandarin,,,,,,,,,
28,Technology: AI in China,Video,AI/Machine learning; Social media; Suerveillance,CGTN America,https://www.youtube.com/watch?v=rrFwIShaSd8,10:02,2020-03-28,Mainland China,English / Mandarin,,,,,,,,,
29,Japanese_Research_Covid_Tech,Video,Health,NHK world Japan,https://drive.google.com/file/d/1wl3Lp7B_uzYcJmjTAV61_iAq47GYzDZ2/view?usp=sharing,05:34,2020-04-04,Japan,English,,,,,,,,,
30,ByteTour: ByteDance Shanghai Office Tour,Video,Social media,Youtube / Bytedance,https://www.youtube.com/watch?v=xRo5Y40oBls,1:03,2020-04-04,Mainland China,Mandarin,,,,,,,,,
31,TenCent Commercial 2011,Video,Advertisement; Social media,Youtube,https://www.youtube.com/watch?v=XERYuGZGOOg,2:02,2020-04-04,Mainland China,Mandarin,,,,,,,,,
32,Five ways China uses tech to screen Covid-19 patients,Video,Health,Abacus News,https://www.youtube.com/watch?v=W97O3pbCqP4,4:33,2020-04-04,Mainland China,English,,,,,,,,,
33,Five ways China is using drones to fight the coronavirus,Video,Health,Abacus News,https://www.youtube.com/watch?v=kwF8FgM4Cw8,4:00,2020-04-04,Mainland China,English,,,,,,,,,
34,Facial recognition now works with masks,Video,Surveillance,Abacus News,https://www.youtube.com/watch?v=3uB0d4j-nQM,0:59,2020-04-04,Mainland China,English,,,,,,,,,
35,Five ways police fight Covid-19 with tech,Video,Health,Abacus News,https://www.youtube.com/watch?v=_zL9Si7P2tI,3:43,2020-04-04,Mainland China,English,,,,,,,,,
36,The contactless elevator with holographic buttons,Video,Health,Abacus News,https://www.youtube.com/watch?time_continue=1&v=SK-aSzyKXRE&feature=emb_logo,0:55,2020-04-04,Mainland China,English,,,,,,,,,
37,Rokid adds fever detection to AR glasses amid pandemic,Video,Health,Abacus News,https://www.youtube.com/watch?v=_DiwTqjYeJ8,0:51,2020-04-04,Mainland China,English,,,,,,,,,
38,Five ways China is using facial recognition,Video,Surveillance,Abacus News,https://www.youtube.com/watch?v=Ib5Nv-l2Z4g,5:23,2020-04-04,Mainland China,English,,,,,,,,,
39,China's top university builds robot doctor,Video,Robotics,Abacus News,https://www.youtube.com/watch?v=7I7z-J0DLbs,0:59,2020-04-04,Mainland China,English,,,,,,,,,
40,China Tech 2010s: Growing up in China’s decade of tech transformation,Video,Societal implications,Abacus News,https://www.youtube.com/watch?v=eaH6-USIIiM&feature=emb_logo,5:22,2020-04-04,Mainland China,English,,,,,,,,,
41,China's self-driving vending machine,Video,Societal implications,Abacus News,https://www.youtube.com/watch?v=bqDU4M1e41Y,0:58,2020-04-04,Mainland China,English,,,,,,,,,
42,How China's tech bosses dance,Video,Societal implications,Abacus News,https://www.youtube.com/watch?time_continue=35&v=76AlQIOjnQs&feature=emb_logo,1:08,2020-04-04,Mainland China,English,,,,,,,,,
43,How China Is Using Artificial Intelligence in Classrooms | WSJ,Video,Societal implications; Education; Robotics; AI,WSJ,https://www.youtube.com/watch?v=JMLsHI8aV0g,5:43,2020-04-04,Mainland China,English,,,,,,,,,
44,Tencent’s new digs has AI security and WeChat controlled elevators,Video,AI/Machine learning; Robotics; Social media,Abacus News,https://www.abacusnews.com/video/big-guns/tencents-new-digs-has-ai-security-and-wechat-controlled-elevators/2131352,0:51,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
45,Huawei wants you to let its phone do the driving,Video,AI/Machine learning; Societal implications,Abacus News,https://www.abacusnews.com/video/big-guns/huawei-wants-you-let-its-phone-do-driving/2135135,0:54,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
46,China's 5G hospital,Video,AI/Machine learning; Societal implications,Abacus News,https://www.abacusnews.com/video/tech/chinas-5g-hospital/3038851,0:55,2020-04-04,Mainland China,English,,Video not present anymore,,,,,,,
47,China Masters Political Propaganda for the Instagram Age,Text / Images,Politics/Government; Social media,The New York Times,https://www.nytimes.com/2019/10/05/technology/china-propaganda-patriotism.html,0:00,2020-04-04,Mainland China,English,,,,,,,,,
48,iPhone Face ID unlock with mask tutorial,Video,Surveillance; Social media,Unknown / Internet,https://v.qq.com/x/page/f3067s8klbd.html,1:40,2020-04-04,Mainland China,Mandarin,,,,,,,,,
49,有情感的机器人要来了，网友：我的机器人女友？,Video,AI/Machine learning; Robotics,Unknown / Internet,https://v.qq.com/x/page/h06456jvfcs.html,1:24,2020-04-04,Mainland China,Mandarin,,,,,,,,,
50,Video Cloud Platform - Face Recognition,Video,Surveillance,Unknown / Internet,https://v.qq.com/x/page/v030849ha1o.html,13:04,2020-04-04,Mainland China,Mandarin,,,,,,,,,
51,王菲天籁献唱《我和我的祖国》 经典旋律唤醒70年全民记忆！– My Motherland,Video,Politics/Government; Societal implications,Unknown / Internet,https://v.qq.com/x/cover/hk765ykwj4bjpcl/f0930yl6xc0.html,3:14,2020-04-04,Mainland China,Mandarin,,,,,,,,,
52,Face recognition security issues,Video,Surveillance,Unknown / Internet,https://v.youku.com/v_show/id_XNDI1ODY5MjE3Ng==.html,8:14,2020-04-04,Mainland China,Mandarin,,,,,,,,,
53,Social Credit System (Chinese perspective),Video,Surveillance,Asian Boss,https://v.qq.com/x/page/q0684z56ins.html,11:12,2020-04-04,Mainland China,Mandarin / English,3,,,,,,,,
54,Social Credit System in China,Audio,Surveillance,Credit Spectrum Corp,https://v.qq.com/x/page/h08112c7j3p.html,9:45,2020-04-04,Mainland China,Mandarin,,,,,,,,,
55,全球科技抗疫，华为云在行动 (Huawei Cloud),Video,Health; Cloud,Huawei,https://v.qq.com/x/page/h0944icigrk.html,2:41,2020-04-04,Mainland China / World,English,,,,,,,,,
56,华为这个广告，我愿一辈子不买苹果 (Huawei vs Apple),Video,Societal implications; Business/Economy,Huawei,https://v.qq.com/x/page/l0500xsipy7.html,0:44,2020-04-04,Mainland China / World,English,,,,,,,,,
57,台湾名嘴：美国为什么击不垮华为？因为它会付出更大的代价！(Huawei vs US),Video,Societal implications; Business/Economy,TenCent,https://v.qq.com/x/page/m0944cap680.html,1:46,2020-04-04,Mainland China / World,Mandarin,,,,,,,,,
58,华为获30国5G合同 耿爽：国家名字不点了 免得有人扎心 (Huawei 5G Contracts vs US)),Video,Societal implications; Business/Economy,TenCent,https://v.qq.com/x/page/z08829mx79c.html,0:41,2020-04-04,Mainland China / World,Mandarin,,"On June 10, Foreign Ministry Spokesperson Geng Shuang hosted a regular press conference. At the press conference, Geng Shuang refuted the recent remarks by US Secretary of State Pompeo about discrediting Huawei and Chinese companies.",,,,,,,
59,华为云发布业界首款企业级AI应用开发套件ModelArts Pro,Video,Societal implications; Business/Economy,TenCent / Huawei,https://v.qq.com/x/page/b093955om4z.html,4:10,2020-04-04,Mainland China,Mandarin,,"Huawei Cloud releases ModelArts Pro, the industry's first enterprise AI application development kit",,,,,,,
60,智慧园区疫情解决方案官网上线 (Huawei facial recognition),Video,Surveillance,Huawei,https://v.qq.com/x/page/s3066ybtaqp.html,0:30,2020-04-04,Mainland China,Mandarin,,Smart Park Outbreak Solution Official Online,,,,,,,
61,2020年是程序员的本命年？听听华为程序员怎么说,Video,Societal implications,Huawei,https://v.qq.com/x/page/e3056s3c7an.html,1:57,2020-04-04,Mainland China,Mandarin,,2020 is the programmer's natal year? Hear what Huawei programmers say. (Funny video),,,,,,,
62,"Huawei Cloud + AI + 5G blesses Huya, restructures the future of live broadcast ecosystem",Video,AI/Machine learning; Social media; Societal implications,Huawei,https://v.qq.com/x/page/k3048dy6hr9.html,0:30,2020-04-04,Mainland China,Mandarin,,,,,,,,,
63,"The conference is marked in real time, and Huawei Cloud WeLink understands the enterprise's smart work platform better ( Commercial)",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/g3043iqnu07.html,0:28,2020-04-04,Mainland China,Mandarin,,,,,,,,,
64,"Shenzhen Meteorological Bureau + Huawei Cloud AI: Fearless weather changes, ride the wind and waves",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/s3046tn7lcv.html,3:33,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
65,"HUAWEI CLOUD Stack dreams of ""the first choice for government and enterprises on the cloud""",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/z30425j9tc3.html,2:41,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
66,Huawei Cloud Double Eleven Good Things Amway look here!,Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/t3018ezfwv8.html,2:43,2020-04-04,Mainland China,Mandarin,,Review,,,,,,,
67,"Huawei Cloud & Zhiyi stop, so parking is no longer a problem",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/a3018c7x6g4.html,3:00,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
68,"HUAWEI CLOUD & Emotech, AI spoken English teacher teach you how to pronounce ""正"" ~",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/f3010v1n54a.html,3:53,2020-04-04,Mainland China,Mandarin,,,,,,,,,
69,"Huawei School Recruitment Promo ""Love"" | Bright",Video,AI/Machine learning; Cloud; Societal implications,Huawei,https://v.qq.com/x/page/d30022lvgb4.html,1:58,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
70,"Huawei School Recruitment Promo ""Love"" | Digital Edition",Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/k3002x0i4w2.html,1:51,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
71,"Huawei School Recruitment Promo ""Love"" | Africa",Video,Cloud; Societal implications,Huawei,https://v.qq.com/x/page/n3002g5oxor.html,1:51,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
72,Building a fully connected digital world,Video,Cloud; Societal implications,Huawei,https://drive.google.com/open?id=14wUxc2SoLCWtkAkI5K85mdb2N7cSQ6lf,1:45,2020-04-04,Mainland China,Mandarin,,Commercial,,,,,,,
